id,county,movedin,movedout,movednet
29105,"Laclede County, Missouri",185,0,185
29141,"Morgan County, Missouri",240,145,95
29143,"New Madrid County, Missouri",0,145,-145
29147,"Nodaway County, Missouri",0,20,-20
29153,"Ozark County, Missouri",0,80,-80
29155,"Pemiscot County, Missouri",50,0,50
29157,"Perry County, Missouri",0,50,-50
29159,"Pettis County, Missouri",0,15,-15
29169,"Pulaski County, Missouri",0,525,-525
29175,"Randolph County, Missouri",45,0,45
29183,"St. Charles County, Missouri",0,600,-600
29189,"St. Louis County, Missouri",150,230,-80
29510,"St. Louis City, Missouri",310,520,-210
30013,"Cascade County, Montana",115,0,115
30029,"Flathead County, Montana",265,0,265
30047,"Lake County, Montana",740,0,740
31055,"Douglas County, Nebraska",0,430,-430
31109,"Lancaster County, Nebraska",0,85,-85
31119,"Madison County, Nebraska",690,0,690
31153,"Sarpy County, Nebraska",0,210,-210
31161,"Sheridan County, Nebraska",0,5,-5
32003,"Clark County, Nevada",245,700,-455
32005,"Douglas County, Nevada",265,0,265
34003,"Bergen County, New Jersey",1735,0,1735
34005,"Burlington County, New Jersey",0,75,-75
34017,"Hudson County, New Jersey",0,30,-30
35001,"Bernalillo County, New Mexico",70,0,70
35013,"Do�a Ana County, New Mexico",555,0,555
35049,"Santa Fe County, New Mexico",105,0,105
36047,"Kings County, New York",0,50,-50
36053,"Madison County, New York",240,0,240
36059,"Nassau County, New York",200,0,200
36061,"New York County, New York",0,50,-50
36067,"Onondaga County, New York",0,20,-20
36081,"Queens County, New York",55,75,-20
36087,"Rockland County, New York",0,70,-70
36091,"Saratoga County, New York",160,0,160
36119,"Westchester County, New York",75,35,40
37001,"Alamance County, North Carolina",0,80,-80
37025,"Cabarrus County, North Carolina",0,135,-135
37049,"Craven County, North Carolina",35,0,35
37051,"Cumberland County, North Carolina",120,145,-25
37071,"Gaston County, North Carolina",60,0,60
37097,"Iredell County, North Carolina",135,0,135
37109,"Lincoln County, North Carolina",0,60,-60
37129,"New Hanover County, North Carolina",0,305,-305
37133,"Onslow County, North Carolina",130,45,85
37151,"Randolph County, North Carolina",0,35,-35
37183,"Wake County, North Carolina",200,0,200
37191,"Wayne County, North Carolina",140,0,140
38101,"Ward County, North Dakota",0,65,-65
39041,"Delaware County, Ohio",0,25,-25
39049,"Franklin County, Ohio",80,0,80
39061,"Hamilton County, Ohio",0,285,-285
39063,"Hancock County, Ohio",55,0,55
39095,"Lucas County, Ohio",0,45,-45
39109,"Miami County, Ohio",0,50,-50
39113,"Montgomery County, Ohio",0,105,-105
39121,"Noble County, Ohio",0,45,-45
39153,"Summit County, Ohio",265,300,-35
39173,"Wood County, Ohio",85,0,85
40009,"Beckham County, Oklahoma",0,80,-80
40011,"Blaine County, Oklahoma",0,45,-45
40017,"Canadian County, Oklahoma",0,635,-635
40027,"Cleveland County, Oklahoma",0,370,-370
40031,"Comanche County, Oklahoma",0,200,-200
40065,"Jackson County, Oklahoma",0,40,-40
40079,"Le Flore County, Oklahoma",25,0,25
40109,"Oklahoma County, Oklahoma",665,70,595
40135,"Sequoyah County, Oklahoma",40,0,40
40143,"Tulsa County, Oklahoma",80,200,-120
40145,"Wagoner County, Oklahoma",0,40,-40
41017,"Deschutes County, Oregon",125,0,125
42007,"Beaver County, Pennsylvania",0,45,-45
42017,"Bucks County, Pennsylvania",15,0,15
42019,"Butler County, Pennsylvania",0,115,-115
42045,"Delaware County, Pennsylvania",0,275,-275
42053,"Forest County, Pennsylvania",30,0,30
42055,"Franklin County, Pennsylvania",55,45,10
42133,"York County, Pennsylvania",205,0,205
44005,"Newport County, Rhode Island",0,45,-45
45013,"Beaufort County, South Carolina",695,0,695
45015,"Berkeley County, South Carolina",0,70,-70
45019,"Charleston County, South Carolina",420,0,420
45045,"Greenville County, South Carolina",0,120,-120
45051,"Horry County, South Carolina",90,0,90
45063,"Lexington County, South Carolina",0,125,-125
45079,"Richland County, South Carolina",0,200,-200
45091,"York County, South Carolina",0,185,-185
46079,"Lake County, South Dakota",0,60,-60
46087,"McCook County, South Dakota",0,55,-55
46103,"Pennington County, South Dakota",0,75,-75
47001,"Anderson County, Tennessee",0,5,-5
47005,"Benton County, Tennessee",0,610,-610
47011,"Bradley County, Tennessee",0,60,-60
47017,"Carroll County, Tennessee",330,0,330
47033,"Crockett County, Tennessee",0,35,-35
47035,"Cumberland County, Tennessee",0,1610,-1610
47037,"Davidson County, Tennessee",645,2945,-2300
47039,"Decatur County, Tennessee",0,85,-85
47045,"Dyer County, Tennessee",275,580,-305
47047,"Fayette County, Tennessee",295,1340,-1045
47053,"Gibson County, Tennessee",0,180,-180
47055,"Giles County, Tennessee",0,75,-75
47057,"Grainger County, Tennessee",0,20,-20
47065,"Hamilton County, Tennessee",35,315,-280
47069,"Hardeman County, Tennessee",535,135,400
47073,"Hawkins County, Tennessee",185,0,185
47075,"Haywood County, Tennessee",0,70,-70
47079,"Henry County, Tennessee",105,50,55
47083,"Houston County, Tennessee",155,0,155
47085,"Humphreys County, Tennessee",0,85,-85
47093,"Knox County, Tennessee",50,85,-35
47097,"Lauderdale County, Tennessee",0,25,-25
47099,"Lawrence County, Tennessee",0,110,-110
47109,"McNairy County, Tennessee",385,125,260
47113,"Madison County, Tennessee",0,55,-55
47117,"Marshall County, Tennessee",0,5,-5
47119,"Maury County, Tennessee",0,270,-270
47123,"Monroe County, Tennessee",0,5,-5
47125,"Montgomery County, Tennessee",75,10,65
47131,"Obion County, Tennessee",0,30,-30
47149,"Rutherford County, Tennessee",35,990,-955
47155,"Sevier County, Tennessee",0,680,-680
47157,"Shelby County, Tennessee",57545,38355,19190
47163,"Sullivan County, Tennessee",30,150,-120
47165,"Sumner County, Tennessee",615,180,435
47167,"Tipton County, Tennessee",2095,815,1280
47177,"Warren County, Tennessee",35,0,35
47179,"Washington County, Tennessee",0,210,-210
47187,"Williamson County, Tennessee",0,1095,-1095
47189,"Wilson County, Tennessee",170,110,60
48001,"Anderson County, Texas",115,0,115
48007,"Aransas County, Texas",0,100,-100
48013,"Atascosa County, Texas",0,135,-135
48029,"Bexar County, Texas",0,140,-140
48061,"Cameron County, Texas",0,5,-5
48085,"Collin County, Texas",55,405,-350
48113,"Dallas County, Texas",700,830,-130
48121,"Denton County, Texas",0,130,-130
48141,"El Paso County, Texas",625,0,625
48157,"Fort Bend County, Texas",325,0,325
48181,"Grayson County, Texas",0,60,-60
48183,"Gregg County, Texas",145,0,145
48201,"Harris County, Texas",345,880,-535
48203,"Harrison County, Texas",0,45,-45
48209,"Hays County, Texas",1220,0,1220
48227,"Howard County, Texas",0,150,-150
48277,"Lamar County, Texas",75,0,75
48307,"McCulloch County, Texas",0,15,-15
48329,"Midland County, Texas",300,0,300
48339,"Montgomery County, Texas",0,495,-495
48423,"Smith County, Texas",0,80,-80
48439,"Tarrant County, Texas",435,395,40
48451,"Tom Green County, Texas",0,285,-285
48453,"Travis County, Texas",280,80,200
48469,"Victoria County, Texas",310,90,220
48485,"Wichita County, Texas",0,115,-115
48491,"Williamson County, Texas",650,230,420
49003,"Box Elder County, Utah",0,35,-35
49011,"Davis County, Utah",0,125,-125
49017,"Garfield County, Utah",0,5,-5
49035,"Salt Lake County, Utah",0,385,-385
49049,"Utah County, Utah",0,35,-35
51013,"Arlington County, Virginia",0,175,-175
51023,"Botetourt County, Virginia",165,0,165
51041,"Chesterfield County, Virginia",85,0,85
51059,"Fairfax County, Virginia",45,0,45
51067,"Franklin County, Virginia",0,230,-230
51153,"Prince William County, Virginia",5,0,5
51177,"Spotsylvania County, Virginia",0,100,-100
51179,"Stafford County, Virginia",205,0,205
51550,"Chesapeake city, Virginia",310,0,310
51650,"Hampton City, Virginia",0,20,-20
51680,"Lynchburg city, Virginia",0,90,-90
51710,"Norfolk City, Virginia",0,40,-40
53009,"Clallam County, Washington",0,85,-85
53017,"Douglas County, Washington",200,0,200
53033,"King County, Washington",0,215,-215
53053,"Pierce County, Washington",45,85,-40
53061,"Snohomish County, Washington",0,190,-190
54055,"Mercer County, West Virginia",360,0,360
54061,"Monongalia County, West Virginia",0,75,-75
54067,"Nicholas County, West Virginia",55,0,55
54079,"Putnam County, West Virginia",185,0,185
55005,"Barron County, Wisconsin",140,0,140
55009,"Brown County, Wisconsin",0,40,-40
55015,"Calumet County, Wisconsin",0,25,-25
55021,"Columbia County, Wisconsin",0,15,-15
55055,"Jefferson County, Wisconsin",30,0,30
55079,"Milwaukee County, Wisconsin",295,0,295
55101,"Racine County, Wisconsin",350,0,350
55111,"Sauk County, Wisconsin",60,145,-85
55133,"Waukesha County, Wisconsin",75,0,75
56021,"Laramie County, Wyoming",25,0,25
56033,"Sheridan County, Wyoming",65,0,65
72061,"Guaynabo Municipio, Puerto Rico",0,85,-85
